id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,dames,heren,junior,gadgets1,gadgets2,bike,travel,winter,"categorie",volgorde,actie,binnenkort,groeneprijs
14,"Knitted Nordic","Dames pull","CMP","CMP_KNITTED-NORDIG-PULL_6121D52002_3003.jpg","#","109,95","79","","",1,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",2,NULL,NULL,1
15,"Janna","Dames sjaal","BARTS","BARTS_JANNA-COL_6514d52007_1144_01_be.jpg","/barts-sjaal-janna-6514d52007?id_colour=374","","34,99","","",NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",46,NULL,NULL,NULL
16,"Janna","Dames muts","BARTS","BARTS_JANNA-MUTS_6515d52021_1144_01_be.jpg","/barts-muts-janna-6515d52021?id_colour=374","","29,99","","",NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",49,NULL,NULL,NULL
17,"Mike","Heren muts","BARTS","BARTS_MIKE-BEANIE_6615d52006_4149_01_be.jpg","/barts-muts-mike-6615d52006?id_colour=2304","","24,99","","",NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",52,NULL,NULL,NULL
18,"Mike","Heren sjaal","BARTS","BARTS_MIKE-SJAAL_6614d52002_4149_01_be.jpg","/barts-sjaal-mike-6614d52002?id_colour=","","34,99","","",NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",55,NULL,NULL,NULL
19,"Wine","Cup Set","MIZU","MIZU_WINE-CUP_1421D52001_3232.jpg","/index.cfm/fuseaction/products.search/?searchvalue=mizu+wine+cup+set","39,95","25","#000000 #ffffff #A49B94","2 stuks",NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,"the_originals",80,NULL,NULL,NULL
20,"Vuurkorf","","ESSCHERT","ESSCHERT_VUURKORF_2HB1D52001_7070.jpg","/esschert-gadget-vuurkorf-2hb1d52001?id_colour=4168","","35","","",NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,"the_originals",61,NULL,NULL,NULL
21,"Muts","","CABAIA","CABAIA_TEQUILA-SUNRISE_6615D52050_4031.jpg","#","","35","","",NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,"the_originals",64,NULL,NULL,NULL
22,"Nordic print","Dames fleece","CMP","CMP_NORDIC-PRINT_6142D52009_1266.jpg","#","99,95","69","","",1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",3,NULL,NULL,1
23,"Knitted Nordic","Heren pull","CMP","CMP_KNITTED-NORDIC-PULL_6221D52007_7503.jpg","#","129,95","99","","",1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",4,NULL,NULL,1
