id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;gadgets;winter;fashion;outdoor;fietsenlopen;categorie;volgorde;actie;binnenkort;groeneprijs
92;Onesie;Heren;ESKIMO;ESKIMO_ONESIE-HEREN_4491D52006_02.jpg;#;79,95;59;;;NULL;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;h-tech_must_haves;247;NULL;NULL;1
93;Onesie;Dames;ESKIMO;ESKIMO_ONESIE-DAMES_41A3D52001_3652_02.jpg;#;59;39;;;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;h-tech_must_haves;250;NULL;NULL;1
94;Onesie;Dames;ESKIMO;ESKIMO_ONESIE-DAMES_41A3D52002_5336.jpg;#;59;39;;;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;h-tech_must_haves;253;NULL;NULL;1
95;Onesie;Kids;ESKIMO;3511d42018_5252_01_be.jpg;#;39,95;29;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;h-tech_must_haves;256;NULL;NULL;1
96;Pyjama;Meisjes;CKS PYJAMA;CKS_PYJAMA_5383D52007_3675.jpg;#;49,99;35;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;h-tech_must_haves;259;NULL;NULL;1
97;Pyjama;Jongens;CKS PYJAMA;CKS_PYJAMA_52A3D52005_7546.jpg;#;49,99;35;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;h-tech_must_haves;262;NULL;NULL;1
98;Star map;(glow in the dark);LUCKIES;LUCKIES_STAR-MAP_2H41C52073.jpg;#;;22,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;265;NULL;NULL;NULL
99;Car pyjama;Jongens;CLAESENS;CLAESSENS_CAR_5381D52001_4603.jpg;#;39,95;29;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;h-tech_must_haves;268;NULL;NULL;1
100;Robot pyjama;Jongens;CLAESENS;CLAESSENS_ROBOT_5381D52001_3246.jpg;#;39,95;29;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;h-tech_must_haves;271;NULL;NULL;1
101;Pantoffels;;AYACUCHO;AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92004_3838_02_be.jpg;#;;14,95;;Vanaf;NULL;NULL;1;1;1;NULL;NULL;1;NULL;NULL;snow_essentials;274;NULL;NULL;NULL
102;Pantoffels;;AYACUCHO;AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92004_4242_02_be.jpg;#;;14,95;;Vanaf;NULL;NULL;1;1;1;NULL;NULL;1;NULL;NULL;snow_essentials;277;NULL;NULL;NULL
103;Pantoffels;;AYACUCHO;AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92006_1212_04_be.jpg;#;;14,95;aya_pant_blauw.jpg aya_pant_donkerbruin.jpg aya_pant_zwart.jpg;Vanaf;NULL;NULL;1;1;1;NULL;NULL;1;NULL;NULL;snow_essentials;280;NULL;NULL;NULL
109;Escape;Heren rain jacket;CRAFT;CRAFT_ESCAPE-RAIN_9242d52001_7030_03_be_Ver1.jpg;#;139,95;89;;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;deals_for_wheels;289;NULL;NULL;1
110;Kid 200;Jongens street fiets;CUBE;CUBE_KIDS-STREET-200_A231C52004_4232.jpg;#;385;299;;;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;deals_for_wheels;292;NULL;NULL;NULL
111;Kid 240;Jongens street fiets;CUBE;CUBE_KIDS-240-STREET_A231C52007_4270.jpg;#;429;299;;;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;deals_for_wheels;295;NULL;NULL;NULL
112;Kid 200;Meisjes street fiets;CUBE;CUBE_KIDS-200-STREET_A242C52001_1036.jpg;#;385;299;;;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;deals_for_wheels;298;NULL;NULL;NULL
113;Kid 240;Meisjes allroad fiets;CUBE;CUBE_KID-240-ALLROAD_A242C52005_1047.jpg;#;419;299;;;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;deals_for_wheels;301;NULL;NULL;NULL
114;Multitool;MT10;BROOKS;BROOKS_MULTITOOL_A3D1C60001.jpg;#;;39,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;304;NULL;NULL;NULL
115;3 Pack sokken;Heren;DE MARCHI;DE-MARCHI_SOKKEN_9251D52002_0101_4.jpg;#;;29,95;de_marchi_sokken-rood.jpg de_marchi_sokken-groen.jpg;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;deals_for_wheels;307;NULL;NULL;NULL
116;Podium Big Chill;25 Drinkfles;CAMELBAK;CAMELBAK_PODIUM-BIG-CHILL-25_7215c50003_1032_01_be.jpg;#;;17,95;#000000;Slechts;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;deals_for_wheels;NULL;NULL;NULL;NULL
119;Podium Chill;21 Drinkfles;CAMELBAK;CAMELBAK_PODIUM-CHILL-21_7215c50005_1070_01_be.jpg;#;;15,95;#DD251D #5CB23D;Slechts;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;deals_for_wheels;NULL;NULL;NULL;NULL
122;Pop i;Fietslicht;KNOG;Knog_Pop-i_Front_Red.jpg;#;;17,5;#000000 #ffffff knog_paars.jpg knog_groen.jpg knog_carbon.jpg;Slechts;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;316;NULL;NULL;NULL
